,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,year,month,price*volume,Day_Perc_Change,Trend
168,2019-02-26,98.69,99.02,99.06,97.87,8490000.0,2019,2,837878100.0,0.5911731729691061,Slight positive
169,2019-02-25,99.12,100.12,100.13,99.05,9230000.0,2019,2,914877600.0,0.43570777181072273,Slight or No Change
170,2019-02-22,99.55,99.82,100.16,99.14,8090000.0,2019,2,805359500.0,0.4338175948345402,Slight or No Change
171,2019-02-21,99.39,99.66,99.92,98.91,6410000.0,2019,2,637089900.0,-0.16072325464590032,Slight or No Change
172,2019-02-20,99.88,101.81,102.34,98.65,17630000.0,2019,2,1760884400.0,0.4930073448032868,Slight or No Change
173,2019-02-19,102.2,102.38,104.18,102.07,20700000.0,2019,2,2115540000.0,2.3227873448137926,Positive
174,2019-02-15,99.99,98.98,100.0,98.86,9480000.0,2019,2,947905200.0,-2.1624266144814164,Negative
175,2019-02-14,98.52,97.68,99.2,97.02,7200000.0,2019,2,709344000.0,-1.4701470147014728,Negative
176,2019-02-13,97.94,97.3,98.0,97.09,5460000.0,2019,2,534752400.0,-0.5887129516849332,Slight negative
177,2019-02-12,96.97,96.82,97.17,96.5,5880000.0,2019,2,570183600.0,-0.9904022871145557,Slight negative
178,2019-02-11,96.2,95.65,96.35,95.64,5540000.0,2019,2,532948000.0,-0.7940600185624369,Slight negative
179,2019-02-08,95.58,96.34,96.69,95.14,6170000.0,2019,2,589728600.0,-0.6444906444906473,Slight negative
180,2019-02-07,96.73,95.11,96.82,95.0,7010000.0,2019,2,678077300.0,1.2031805817116714,Positive
181,2019-02-06,95.64,95.43,96.01,95.22,4260000.0,2019,2,407426400.0,-1.1268479272200982,Negative
182,2019-02-05,95.6,95.25,95.94,95.02,6100000.0,2019,2,583160000.0,-0.04182350480971264,Slight or No Change
183,2019-02-04,94.77,93.86,94.77,93.35,7270000.0,2019,2,688977900.0,-0.8682008368200766,Slight negative
184,2019-02-01,93.86,95.92,96.0,93.11,12590000.0,2019,2,1181697400.0,-0.9602194787379892,Slight negative
185,2019-01-31,95.83,94.63,96.87,94.63,14720000.0,2019,1,1410617600.0,2.098870658427443,Positive
186,2019-01-30,94.8,96.68,96.8,94.26,11850000.0,2019,1,1123380000.0,-1.074819993738918,Negative
187,2019-01-29,96.71,96.77,97.16,96.51,5250000.0,2019,1,507727499.99999994,2.0147679324894474,Positive
188,2019-01-28,97.06,96.53,97.07,96.08,5880000.0,2019,1,570712800.0,0.36190673146521135,Slight or No Change
189,2019-01-25,96.94,98.75,98.91,96.75,7220000.0,2019,1,699906800.0,-0.12363486503194077,Slight or No Change
190,2019-01-24,98.36,98.2,98.46,96.43,7610000.0,2019,1,748519600.0,1.4648236022281935,Positive
191,2019-01-23,98.71,98.87,99.35,97.53,8350000.0,2019,1,824228500.0,0.35583570557136124,Slight or No Change
192,2019-01-22,97.49,97.15,98.43,96.78,8060000.000000001,2019,1,785769400.0,-1.2359436733866858,Negative
193,2019-01-18,97.73,96.95,98.2,96.85,6120000.0,2019,1,598107600.0,0.2461790952918319,Slight or No Change
194,2019-01-17,96.74,96.32,97.21,96.16,5610000.0,2019,1,542711400.0,-1.012994986186444,Negative
195,2019-01-16,96.35,95.93,96.86,95.83,5410000.0,2019,1,521253499.99999994,-0.403142443663429,Slight or No Change
196,2019-01-15,96.25,95.47,96.6,95.38,7060000.0,2019,1,679525000.0,-0.10378827192526474,Slight or No Change
197,2019-01-14,94.95,94.48,95.45,94.28,7090000.0,2019,1,673195500.0,-1.3506493506493467,Negative
198,2019-01-11,94.84,94.99,95.29,94.55,5390000.0,2019,1,511187600.0,-0.11585044760400454,Slight or No Change
